PROTID	GENEID	18381_Liu_MAC3_C_GFP1_BIO1_S1_C12_1_INT	18382_Liu_MAC3_C_GFP2_BIO1_S1_D1_1_INT	18383_Liu_MAC3_C_GFP3_BIO1_S1_D2_1_INT	18385_Liu_MAC3_C_GFP4_BIO1_S1_D4_1_INT	18386_Liu_MAC3_C_GFP5_BIO1_S1_D5_1_INT	18387_Liu_MAC3_C_GFP6_BIO1_S1_D6_1_INT	18389_Liu_MAC3_C_GFP7_BIO1_S1_D8_1_INT	18390_Liu_MAC3_C_GFP8_BIO1_S1_D9_1_INT	18391_Liu_MAC3_C_GFP9_BIO1_S1_D10_1_INT	18422_Liu_MAC3_C_GFP1_BIO2_S3_A2_1_INT	18423_Liu_MAC3_C_GFP2_BIO2_S3_A3_1_INT	18424_Liu_MAC3_C_GFP3_BIO2_S3_A4_1_INT	18426_Liu_MAC3_C_GFP4_BIO2_S3_A6_1_INT	18427_Liu_MAC3_C_GFP5_BIO2_S3_A7_1_INT	18428_Liu_MAC3_C_GFP6_BIO2_S3_A8_1_INT	18430_Liu_MAC3_C_GFP7_BIO2_S3_A10_1_INT	18431_Liu_MAC3_C_GFP8_BIO2_S3_A11_1_INT	18432_Liu_MAC3_C_GFP9_BIO2_S3_A12_1_INT	18434_Liu_MAC3_C_GFP1_BIO3_S3_B2_1_INT	18435_Liu_MAC3_C_GFP2_BIO3_S3_B3_1_INT	18436_Liu_MAC3_C_GFP3_BIO3_S3_B4_1_INT	18438_Liu_MAC3_C_GFP4_BIO3_S3_B6_1_INT	18439_Liu_MAC3_C_GFP5_BIO3_S3_B7_1_INT	18440_Liu_MAC3_C_GFP6_BIO3_S3_B8_1_INT	18442_Liu_MAC3_C_GFP7_BIO3_S3_B10_1_INT	18443_Liu_MAC3_C_GFP8_BIO3_S3_B11_1_INT	18444_Liu_MAC3_C_GFP9_BIO3_S3_B12_1_INT	18446_Liu_MAC3_C_GFP1_AP1_S3_C2_1_INT	18447_Liu_MAC3_C_GFP2_AP1_S3_C3_1_INT	18448_Liu_MAC3_C_GFP3_AP1_S3_C4_1_INT	18450_Liu_MAC3_C_GFP4_AP1_S3_C6_1_INT	18451_Liu_MAC3_C_GFP5_AP1_S3_C7_1_INT	18452_Liu_MAC3_C_GFP6_AP1_S3_C8_1_INT	18454_Liu_MAC3_C_GFP7_AP1_S3_C10_1_INT	18455_Liu_MAC3_C_GFP8_AP1_S3_C11_1_INT	18456_Liu_MAC3_C_GFP9_AP1_S3_C12_1_INT	18458_Liu_MAC3_C_GFP1_AP2_S3_D2_1_INT	18459_Liu_MAC3_C_GFP2_AP2_S3_D3_1_INT	18460_Liu_MAC3_C_GFP3_AP2_S3_D4_1_INT	18462_Liu_MAC3_C_GFP4_AP2_S3_D6_1_INT	18463_Liu_MAC3_C_GFP5_AP2_S3_D7_1_INT	18464_Liu_MAC3_C_GFP6_AP2_S3_D8_1_INT	18466_Liu_MAC3_C_GFP7_AP2_S3_D10_1_INT	18467_Liu_MAC3_C_GFP8_AP2_S3_D11_1_INT	18468_Liu_MAC3_C_GFP9_AP2_S3_D12_1_INT	18470_Liu_MAC3_C_GFP1_AP3_S3_E2_1_INT	18471_Liu_MAC3_C_GFP2_AP3_S3_E3_1_INT	18472_Liu_MAC3_C_GFP3_AP3_S3_E4_1_INT	18474_Liu_MAC3_C_GFP4_AP3_S3_E6_1_INT	18475_Liu_MAC3_C_GFP5_AP3_S3_E7_1_INT	18476_Liu_MAC3_C_GFP6_AP3_S3_E8_1_INT	18478_Liu_MAC3_C_GFP7_AP3_S3_E10_1_INT	18479_Liu_MAC3_C_GFP8_AP3_S3_E11_1_INT	18480_Liu_MAC3_C_GFP9_AP3_S3_E12_1_INT
P62491	RAB11A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9762.687	0	0	12706.919	10629.713	0	6585.644	0	0	7723.4653	0	0	11362.876	10839.207	12140.575	0	0	0	0	7168.2144	0	14443.962	13188.03	12011.424	0
P62495	ETF1	66536.99	69649.28	84773.95	60648.863	55870.477	43918.465	83047.14	71772.16	52105.65	67491.91	65348.47	37185.664	69696.8	61003.53	61864.305	75457.37	71803.484	67258.47	66230.805	69817.91	55187.77	73655.516	68411.44	60007.617	79176.9	70570.18	68588.16	230864.02	181183.02	136848.98	218084.95	234072.92	196885.55	211251.83	370733.75	225288.19	200060.75	212611.25	174063.83	232897.56	205527.92	233397.0	219772.73	326526.06	261702.28	283604.03	238695.12	162590.33	239775.19	242859.69	227700.34	196707.7	372493.16	202647.03
P62633	CNBP	93127.0	81406.18	125509.734	48156.234	93052.27	95953.664	86605.75	85461.82	65106.51	89196.17	73830.13	112913.48	60421.098	103030.555	93475.85	83645.94	76203.65	70250.29	96075.414	74171.61	104354.0	64775.34	79674.06	95192.586	80536.52	81526.414	74685.6	97572.49	100516.69	117320.766	127530.09	122653.766	79883.88	81165.64	143815.67	71147.44	127047.86	98753.28	118637.73	104575.22	126610.28	75073.19	78540.625	140104.16	81665.81	137478.95	111475.14	114994.44	120157.734	134656.95	82326.95	81442.67	145392.23	93941.81
P62699	YPEL5	0	0	11855.966	0	6774.2188	8625.297	0	0	0	0	0	14016.43	10721.704	11934.031	0	0	0	0	7576.1626	0	0	0	0	0	0	0	0	53241.562	53529.227	67251.14	46829.785	45652.125	0	36004.69	30653.88	17346.514	49615.58	47402.09	65917.97	40895.95	44791.652	25609.268	32183.19	0	17781.588	41984.734	14215.3545	54622.707	55824.285	41362.33	0	34659.34	29821.75	51225.16
P62701	RPS4X	1003646.6	804309.3	1062184.1	521029.94	779719.7	863652.75	1237215.8	746714.6	835973.4	1088175.0	875380.25	902745.4	550746.0	799647.56	953671.25	1173477.1	962818.8	776930.94	1126188.5	1105232.5	1043560.7	562408.4	931800.9	997864.94	1261851.8	1051879.0	764905.25	1708120.8	1815546.8	1922120.6	1991370.5	1760871.6	2370633.0	2240159.0	2479771.0	1905730.6	1901505.9	1942124.4	1924161.0	1968354.4	1673892.0	2461649.5	2295780.5	2549060.0	1950718.5	1847065.1	1703153.9	1950261.0	1942013.6	1697873.2	2489446.5	2289368.5	2615894.5	1928604.0
P62736	ACTA2	0	31605.53	0	0	0	0	0	0	0	25414.574	28202.098	0	0	0	0	32890.344	0	0	24893.432	30320.72	0	0	0	0	25403.34	18354.033	0	22184.281	23319.947	20840.998	25847.635	29873.3	17940.863	22577.967	29089.088	20799.785	19790.117	21100.803	25707.773	18856.248	21383.166	25035.363	42933.96	19004.557	20714.799	18374.992	17862.367	18998.996	20090.107	16457.934	23621.256	33285.934	27986.145	21419.578
P62745	RHOB	30193.375	29027.953	34207.105	32296.395	30444.52	35869.867	37603.164	36265.523	30694.666	26114.73	26200.365	31088.826	32734.004	27574.629	34453.78	35116.73	30114.727	34552.266	28250.033	25788.197	33895.69	34981.67	27219.328	46993.523	32111.332	29987.463	38178.64	211141.94	161118.4	186306.14	215510.19	157375.27	203161.81	191102.19	211139.77	199185.78	230189.53	172574.08	186748.08	230491.5	178822.86	222275.36	212162.48	201134.12	211582.47	218594.47	176188.9	177638.16	215464.22	169213.97	216643.1	198819.36	206545.58	188607.48
P62750	RPL23A	290468.3	280266.97	390375.16	260017.47	286758.34	499844.72	287051.12	304360.5	489866.2	322956.22	392452.2	355637.28	280757.25	426822.0	371181.94	357939.62	461900.72	578701.2	309585.97	305801.03	318287.94	303394.7	352926.88	366677.53	321189.62	467308.75	546631.5	455114.94	608339.7	576259.3	525181.1	667085.1	437200.56	439337.53	389543.25	751069.8	457133.0	583568.25	545109.1	501453.34	607545.25	487128.5	437054.9	399026.56	699621.6	488471.53	626559.75	531091.4	507940.8	631511.06	500993.8	493825.06	445463.38	891920.5
P62753	RPS6	249543.2	300484.7	208633.22	301352.6	197087.69	164484.38	341249.56	394500.78	372263.22	276048.8	313763.72	183372.5	296499.16	224416.06	171427.16	412846.0	378976.25	413882.56	248717.06	376535.06	188608.81	282495.66	222834.8	191952.17	402433.06	436586.75	412245.38	286193.38	298511.22	345386.84	313692.22	350739.44	338334.7	359292.88	324405.4	328328.56	286270.4	329615.38	352809.25	298014.62	361762.9	351186.0	371905.84	315709.28	355819.25	294472.84	327083.66	359405.6	304438.53	391416.66	375152.25	372646.66	332353.72	356967.66
P62805	H4C1	1063611.5	1010092.4	1120262.5	1181499.1	1178894.8	1046601.1	1162760.9	1015480.4	1498945.2	1144805.4	1090735.2	1164022.6	1175823.0	1294439.5	972526.6	1183774.2	1045457.25	1436463.0	1108528.4	1038065.06	1159347.6	1213048.8	1243297.9	1028960.4	1187310.5	1081866.4	1508406.4	332871.3	495357.1	365273.84	411935.56	471313.5	498160.9	338880.16	436886.7	510279.8	315114.53	421867.56	360425.2	362940.3	367025.8	436300.25	352852.47	387089.62	441293.56	330223.53	401823.53	371473.7	402826.4	343788.34	427048.12	357614.53	366897.06	415106.2
