PROTID	GENEID	cGFP_C1_6h_BioID_1_INT	cGFP_C1_6h_BioID_2_INT	cGFP_C1_6h_BioID_3_INT	cGFP_C2_6h_BioID_1_INT	cGFP_C2_6h_BioID_2_INT	cGFP_C2_6h_BioID_3_INT	cGFP_C3_6h_BioID_1_INT	cGFP_C3_6h_BioID_2_INT	cGFP_C3_6h_BioID_3_INT	cGFP_C4_6h_BioID_1_INT	cGFP_C4_6h_BioID_2_INT	cGFP_C4_6h_BioID_3_INT	cGFP_C5_6h_BioID_1_INT	cGFP_C5_6h_BioID_2_INT	cGFP_C5_6h_BioID_3_INT	cGFP_N1_6h_BioID_1_INT	cGFP_N1_6h_BioID_2_INT	cGFP_N1_6h_BioID_3_INT	cGFP_N2_6h_BioID_1_INT	cGFP_N2_6h_BioID_2_INT	cGFP_N2_6h_BioID_3_INT	cGFP_N3_6h_BioID_1_INT	cGFP_N3_6h_BioID_2_INT	cGFP_N3_6h_BioID_3_INT	cGFP_N4_6h_BioID_1_INT	cGFP_N4_6h_BioID_2_INT	cGFP_N4_6h_BioID_3_INT
na	na	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C1_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C2_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C3_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C4_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_C5_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N1_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N2_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N3_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID	cGFP_N4_6h_BioID
O75478	TADA2A	17133.855	13909.232	21419.219	40209.53	39339.67	25910.145	37184.79	25656.422	35093.273	22092.61	14520.903	15549.776	14303.062	13604.618	0	106944.82	159574.61	168271.73	279946.1	285160.88	285660.28	140246.12	114672.234	116038.945	157859.56	153402.55	153251.1
O75486	SUPT3H	37291.453	35838.72	37415.38	78372.28	80715.734	28058.145	62952.49	21446.307	56152.367	14823.083	10156.96	21412.203	20590.225	0	0	74397.65	72566.66	73762.75	114581.69	79572.17	88588.11	92440.97	99653.2	84988.086	20109.621	45156.86	99332.42
O75489	NDUFS3	20221.678	0	22378.871	23033.799	21558.46	59883.473	34068.113	23249.668	37814.473	30196.248	53624.91	0	28816.193	27188.818	33179.62	216706.55	115413.164	174550.38	202012.36	207005.25	222805.7	213401.38	235249.69	291512.3	275263.6	321697.72	252383.08
O75494	SRSF10	12920.998	0	0	18649.291	17112.443	0	19150.764	0	17996.758	0	18129.932	0	17639.756	17850.842	0	27951.623	8720.545	13969.743	0	15044.43	30467.902	18209.484	22633.77	0	23210.225	0	22154.156
O75496	GMNN	245865.48	246069.03	244145.47	337604.8	389212.4	319617.34	312493.75	200122.89	338082.47	194854.53	150649.73	202844.9	152757.25	183047.77	211034.08	69230.93	71636.11	49077.727	51623.406	31244.139	62576.84	0	0	0	14487.84	28498.797	10510.707
O75506	HSBP1	69817.125	85392.64	72669.7	54265.996	35527.336	99337.805	84635.54	36867.67	99243.2	179355.84	141926.5	120692.73	131672.9	126016.5	145854.75	66362.76	80949.5	62068.13	69407.484	49667.457	61933.168	35986.867	46278.61	46420.605	32186.525	40147.453	61088.93
O75521	ECI2	19768.201	21295.775	22315.553	21407.477	20025.838	21950.195	19880.283	21134.162	17610.084	17613.602	22911.52	19942.215	18060.984	18886.326	17539.787	96962.6	57234.902	92353.14	109480.875	91599.09	97678.45	119779.78	108781.92	123846.59	145495.84	133001.11	116298.31
O75528	TADA3	132543.25	142010.83	126290.77	185195.56	191987.84	120578.29	167877.88	120317.51	159953.8	60422.633	77615.33	76707.66	50572.305	61340.586	50679.945	256467.67	267075.97	276451.2	419351.03	433941.25	460468.94	269743.1	235906.89	222495.84	251828.62	269080.88	308103.3
O75529	TAF5L	46266.258	33626.535	43062.2	69933.586	74257.11	51925.46	68790.05	39317.86	53396.926	34913.96	37427.08	46383.72	42310.406	16635.6	31455.965	69955.234	23467.42	61327.2	125899.75	132498.94	143329.72	51566.453	65471.992	25167.879	17117.36	19509.758	59911.066
O75530	EED	25100.455	22425.121	23602.133	81813.24	54540.4	30138.96	48125.996	33948.227	42804.23	8846.772	6898.022	5856.584	0	12236.727	0	10820.604	0	10120.59	11708.918	27169.906	14244.574	8915.108	7965.885	9656.454	0	7079.727	7718.189
