Protein.Group	8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d
Q96E22	60765.3	56478.1	57163.8	57797.6	55214.1	62615.4	57671.5	56293.8	59470.5
Q8WUT4	30140.9	31081.0	30873.7	33133.6	36178.3	37722.8	35523.9	35793.2	36869.6
Q24JQ0	14242.3	11205.3	13109.4	15746.1	14426.9	15445.1	14554.8	16157.8	12958.3
Q9HAY2	6813.93	7111.49	6915.78	5709.02	6759.41	5799.55	6187.42	6041.93	5676.6
Q8WTV1	118561.0	126609.0	127383.0	75181.7	75060.9	73000.9	74827.8	69774.1	80986.2
Q96T21	55431.1	53223.4	59099.9	49247.0	50542.2	55089.9	52694.2	58247.9	54726.1
P80294	1420000.0	1710000.0	1540000.0	1060000.0	1200000.0	1140000.0	1060000.0	1120000.0	1130000.0
O75030	14143.8	15054.4	14929.3	18506.1	16616.1	17835.4	14672.0	14882.8	16185.4
Q96JN0	15590.7	14905.4	16115.7	18275.9	20681.0	18593.8	17792.3	19228.0	19647.9
Q86UP9	3218.59	4403.79	4484.17	5892.5	4236.37	5675.97	3059.81	4642.08	5117.29
Q5T035	3120.59			6102.22		4360.39			
Q8WU68	2755.52		1315.33	2807.57	1817.35	1998.76	2039.11	1157.9	2121.75
Q6PGQ7	24979.5	26820.2	25617.1	23391.4	22103.5	25326.3	26108.6	25691.5	25039.9
Q9BSC4	270854.0						312126.0	250134.0	225345.0
Q9BTX3	14985.0			7294.45	11126.3		12651.5	11195.5	12894.5
Q07699	12001.0	16833.3	14566.0	12921.6	12521.1	16475.7	15515.2	16133.7	12839.1
Q5T742	11653.0	17452.2	16229.3	16195.7	19308.3	10072.8	19953.1	17054.6	14182.5
Q8NHQ1	104011.0	102623.0	98235.8	95082.7	94704.2	87521.6	67941.0	71289.5	81855.3
Q9Y2L1	20399.7	19630.2	22879.5	20208.1	25357.8	26507.2	31913.7	28095.5	31829.8
Q96PB7	52584.6	46500.5	52721.5	50870.8	43753.2	47880.0	45084.3	42618.5	40467.6
O15173	54538.3	47157.6	45532.6	93688.0	68340.8	78663.8	47743.8	52556.9	39319.7
O43688	59084.4	52856.0	47444.0	55845.2	62806.6	57068.2	60008.8	62485.3	61027.8
Q5T280	80333.3	88147.1	97328.1	159264.0	148457.0	135923.0	109914.0	102018.0	114727.0
Q9BZE2	59824.0	59368.0		105568.0					
Q9GZK4	16966.4	19192.9	20473.1	21669.3	22940.7	21081.7	21329.6	21497.7	22161.7
Q15596	14253.3	12704.2	13463.7	14933.1	13790.7	13721.5	15389.9	16144.6	14757.2
P38159	28911.3	19142.0	22320.5	26231.0	25532.0	27165.5	27620.2	25560.6	27286.4
O14672	44256.5	53988.1	50307.7	39071.2	40284.6	44888.2	45929.3	46901.0	45795.5
Q8IVM0	11717.8	9421.55	10908.2	12224.4	11702.9	12111.4	12988.5	12733.1	12973.3
Q14249	4143.66	4968.99	4378.11	5955.58	5266.59	7148.48	5872.7	5136.16	4060.24
A6NH11	46377.7	41499.8	38732.3	59619.0	57682.5	57009.9	50646.3	46692.7	44841.5
Q13094	12116.9	13043.8	13055.9	14176.4	14463.6	13746.5	15519.6	15280.2	16306.6
C0HLZ6		2584.15	1954.14	2840.13	2103.22	3030.95	3292.74	3200.26	2719.3
Q6ZU64	31517.5	32382.6	32583.2	36002.2	32410.6	33677.6	39420.4	40637.5	39741.2
Q8WZ73	328358.0	325816.0	329052.0	281916.0	270381.0	275251.0	264913.0	278648.0	271086.0
P13473	27956.5	26779.4	26939.1	24595.3	25424.9	27854.4	26164.4	27919.8	25065.4
A0A1W2PQ72	8607.34	11649.8	10322.5	8069.02	10018.4	9164.64	11505.6	9951.71	10097.3
Q8IYI0	138118.0	172563.0	161521.0	158015.0	181841.0	165442.0	179523.0	179362.0	172428.0
Q9UN37	23616.0	26079.6	25652.2	28608.9	30123.7	27735.8	33500.1	35217.4	35677.1
Q9UJW3	22370.1	21321.5	23971.2	31388.7	33167.8	33587.0	31893.9	28800.6	24703.0
Q92574	162553.0	170281.0	172863.0	134368.0	136242.0	130670.0	125265.0	130562.0	113122.0
Q9H0D6	62504.2	40441.0	36240.1	69384.2	78554.6	67340.7	84633.7	76158.0	76084.3
P49189	141047.0	138922.0	143861.0	188870.0	181826.0	189197.0	231885.0	215957.0	209122.0
Q6UXY8	120840.0	135127.0	133527.0	130683.0	137568.0	152140.0	178540.0	166357.0	191688.0
Q8IVH8	5901.3	5069.76	6378.49	6651.6	7438.95	7571.14	7625.91	7482.06	7031.19
Q9H8Y1	6970.9	6695.33	6245.8	5451.91	5412.84	4625.06	4211.96	5785.75	5109.07
O14933	5335.4	6203.86	6372.18	7832.37	6469.99	7732.82	6505.8	5998.8	6345.08
P35354	38504.3	36543.0	39642.2	42012.8	39566.3	39806.2	37925.4	35963.4	34200.3
O14773	47874.5	51002.9	49728.8	42969.6	43166.0	43885.0	45885.9	45175.6	49718.4
O00541	41644.4	32566.3	39535.3	60639.3	59838.2	57586.2	62639.8	63302.2	49489.8
P38935	6576.92	7756.58	6810.97	5523.25	5603.0	6375.69	6176.39	6723.22	7377.94
A0A0C4DH39	99713.7	87912.9	93730.5	188722.0	220111.0	194219.0	130274.0	74474.6	93978.4
P13073	25606.5	24187.3	23914.5	16992.8	18764.7	17608.8	15486.0	15215.3	16521.5
Q15572	119429.0	114437.0	108900.0	116112.0	127456.0	138762.0	150154.0	143173.0	136052.0
Q8WX77	24445.0	25831.5	24423.8	16448.7	18690.0	17819.9	15211.2	15977.4	17399.2
O95069	11086.9	11284.5	11607.3	12196.0	12857.6	13514.5	13214.2	12174.1	14068.3
A6NFH5	43726.6	44397.4	40845.6	30872.9	33644.5	32626.1	40210.4	41164.3	47596.7
O14802	20023.4	21754.6	21226.9	20252.7	21809.5	18893.5	17986.9	19595.4	18541.8
A6NGG8	7739.29	9910.09	11028.9	10364.4	9536.28	8892.19	10073.0	10827.1	9561.12
Q5VY80	366035.0	356747.0	363269.0	263107.0	258239.0	272633.0	238414.0	239608.0	244914.0
P16444	283809.0	296291.0	291844.0	327034.0	319338.0	308145.0	325768.0	325718.0	320390.0
Q9Y6D0	29580.7	23627.8	16697.9	36025.1	34344.8	32583.5	18301.5	16882.5	18526.3
Q86SR1	524480.0	535962.0	569810.0	631835.0	611975.0	633207.0	625006.0	626896.0	553161.0
P58173	39598.3	48591.4	40256.6	40961.3	43140.8	46653.9	48839.0	47866.3	47985.7
Q6UVW9	11386.1	12504.1	11143.1	15240.8	15993.3	14046.5	13973.1	14462.3	13466.6
P98073	50551.4	51128.8	45301.6	58816.5	65896.0	67536.8	69047.4	66722.9	63418.7
P08311	8532.42	6681.24	7174.17	5436.35	5412.79	4941.35	5743.16	5646.35	5602.86
A0A1W2PQC6	2568.14	3521.98	3397.51	3140.61	3268.23	3724.63	3402.49	3650.04	3532.06
O43704	18839.9	20881.0	19556.0	14505.0	14692.8	14951.0	14519.9	14297.7	14649.2
Q9Y5B0	158745.0	154157.0	152570.0	147617.0	150166.0	151558.0	142683.0	140320.0	137168.0
O60774	191922.0	196616.0	188690.0	126721.0	129238.0	137231.0	129453.0	133772.0	133678.0
Q6NZ36	3009.14	2415.23	6140.58	2073.89	4545.25	2878.89	3706.88	3787.92	5259.32
Q9Y6G3	1465.69	2275.58		3447.37	3358.92	3264.58	3562.95	3381.55	2664.76
Q15907	18709.0	23543.9	23039.5	22857.2	24680.1	25769.0	23051.9	23881.5	24948.5
Q5QJ38	44251.5	50513.5	47660.5	46309.6	44249.1	43627.3	37617.5	36521.9	33320.6
Q6PFW1		14679.0	13179.5	6086.48	7831.62	8296.62	8636.53	9174.08	8389.31
Q9NRY4	6681.71	6954.61	7317.11	7384.55	7645.66	7545.1	8123.14	9318.0	9767.01
Q15345	5817.17	9630.66	9029.26	8633.23			9050.32	5936.03	10382.7
Q8TC59	4312.93	5659.04	6679.74	5438.04	6378.79	5262.33	6282.01	6901.27	7282.28
P78414	10947.2	13305.3	13087.2	14294.9	12326.5	11735.5	10086.3	11677.3	10860.3
O14966	2428.24	3453.51	4137.26	5086.5	4549.79	4972.84	5021.75	5969.25	5415.51
P45378	1721.64	1597.13	1389.55	980.375	1061.67	1246.85	1584.4	1052.25	950.284
P09105	63391.2	77643.6	73243.5	55849.8	56126.4	52526.1	44896.4	47588.8	48637.0
P78317	9720.32	5515.24	4272.84		3623.32	2414.29		3665.42	2743.96
Q8N0T1	100003.0	95561.4	95095.1	98799.3	94740.1	96916.0	80638.3	77838.2	75997.0
Q04771	8199.31	6870.23	7058.32	7026.61	8500.01	8137.11	7094.49	7724.37	8341.5
Q70J99	2225.07	2796.23	2768.69	2981.62	2776.06	2891.06	3026.89	3345.52	3104.49
Q09428							1060.97		557.539
Q6ZMB0	3936.96	3260.13	3757.08	1764.47	2621.64	3354.03	3535.01	3977.36	3197.67
Q86VI3	11215.7	10884.0	10966.9	8015.91	7513.85	8175.24	8478.77	9039.42	8474.07
Q6XLA1	151466.0	151583.0	149549.0	123986.0	135250.0	135045.0	126456.0	137647.0	128562.0
P22455	10019.8	10869.6	10864.3	11625.6	12165.6	11688.4	12142.8	14003.1	13100.0
A0A286YF18	264759.0	249703.0	261888.0	331141.0	335876.0	343528.0	335860.0	338738.0	314591.0
O95858	289830.0	310111.0	296641.0	292433.0	302520.0	302602.0	355859.0	353903.0	364381.0
A0A1W2PQ27	195437.0	226481.0	155369.0	84942.0	135955.0	147500.0	157994.0	154207.0	164987.0
A4QMS7		6475.98	4740.3	7194.41	7515.0	6637.4	6906.51	8474.97	7522.71
Q8TAM6		1220.21			1429.68	1998.1	2226.06	1215.36	2173.16
Q8NDZ6	135681.0	123128.0	153297.0	186700.0	149096.0	194584.0	256766.0	218938.0	276631.0
Q9NVX0	10847.1	13997.9	11772.6	16281.8	18901.5	17768.5	22833.9	20739.0	21524.5
P63252	14584.2	14754.7	15226.2	13233.4	12542.2	14169.0	13750.5	13044.5	13497.3
Q9HCK1	53929.3	62367.2	61412.8	67707.4	70515.4	63644.2	60164.5	57505.5	58173.0
Q2VIR3	28862.0	41512.0	36466.8	30357.1	33785.9	36662.9	38606.2	42275.2	39749.0
Q9BVS5	42455.3	50479.8	50836.5	37688.7	35054.9	32622.3	36670.6	35557.8	37104.4
