Protein.Group	8971_Liu_Cov_Lysate_32-1-1_S1-A2_1.d	8973_Liu_Cov_Lysate_32-1-2_S1-A4_1.d	8975_Liu_Cov_Lysate_32-1-3_S1-A6_1.d	8977_Liu_Cov_Lysate_32-8-1_S1-A8_1.d	8979_Liu_Cov_Lysate_32-8-2_S1-A10_1.d	8981_Liu_Cov_Lysate_32-8-3_S1-A12_1.d	8983_Liu_Cov_Lysate_32-16-1_S1-B2_1.d	8985_Liu_Cov_Lysate_32-16-2_S1-B4_1.d	8987_Liu_Cov_Lysate_32-16-3_S1-B6_1.d
Q9Y216	26938.7	27059.6	25907.5	15264.7	16742.2	18715.3	18132.9	17869.2	16992.8
Q96D15	42736.3	48695.7	49874.3	52359.0	44011.3	43237.9	31856.7	34184.7	31195.2
Q9Y2S2	5308.51	4321.57	3833.15	5732.85	5281.77	6015.55	6512.9	6265.65	5700.66
Q9H329	6533.1	8116.1	7932.0	9421.15	8983.32	10333.6	9606.54	8482.76	8866.83
B4DJY2		11172.1		13480.2			10789.9	11133.4	
P06729	6679.37	5883.07	7329.49	7326.28	7117.36	7565.0	9825.28	10197.1	10539.3
P51159	5913.8	8421.24	7875.91	8402.3	6452.3	7868.77	7947.9	9358.5	9084.77
O15062	8866.3	7988.39	8826.84	8602.24	8224.97	8347.64	9021.02	10244.5	9746.13
O76076	15289.6	15970.2	14444.1	13782.5	15745.9	14788.4	16564.3	15498.4	16410.1
Q96S99	8982.8	7430.12	6435.75	8694.21	7621.46	7310.3	8182.24	8988.92	8479.8
A4D0V7	8880.83	7353.34	7439.79	8803.63	6437.51	7288.45	6935.0	6542.72	6771.31
Q9HBH9	7216.52	9273.77	7801.58	9165.96	8652.73	8798.87	9447.17	10788.6	9834.95
Q96HA4	9671.81	9842.82	12078.4	14574.2	13696.9	14476.7	15563.7	11862.9	14902.4
Q9Y3D9		13337.9	13924.4	9991.3	10713.0	11137.7	11320.3	12122.8	9225.06
O75578	6883.12	6732.38	6932.36	7426.56	6911.77	8716.37	9547.63	10508.1	8416.78
Q96DT5	926.367	844.201	1362.36	1785.98	1978.37	2248.68	1309.49	1673.57	1535.96
O15371	28841.2	28778.9	29148.8	21308.5	22954.4	19494.1	21120.4	22833.2	23499.2
Q4VC31	3756.09	4724.19	4352.02	3110.53	2742.88	3511.18	4141.94	3339.0	4073.42
Q14320	9290.24		5174.01	9070.04	5879.18	6653.15	6143.63	5971.78	4320.38
P17050	2465.79	1924.19	3380.03	2881.38	2628.04	4457.26	2851.56	2842.4	2985.46
Q9Y3E1	40809.4	40157.8	39129.1	30892.8	35751.6	36507.2	33747.2	31671.1	29532.8
O00560	483.739	453.945			398.8		597.392	913.67	744.898
Q9H0B8	1322.89	2513.4	2431.48	1533.48	1799.94	2104.6	4182.02	3737.8	3365.98
Q5K130	3443.55	2845.08	2895.96	3144.65	3547.22	2517.48	3486.65	3873.29	3550.47
Q7Z7H3	17265.8	16956.2	18322.8	20340.3	20786.4	19809.5	22992.7	23309.5	23737.0
Q6ZMM2	12238.8	13880.4	12619.6	12851.0	13262.3	13017.8	12809.8	12457.1	15275.6
O75899	6318.57	5794.56	5934.82	4235.5	5661.86	3488.02	3816.79	4392.29	3969.07
Q8N726	1741.81	2423.21	1227.11	1152.85	1335.57	1552.57	868.963	1448.61	1541.3
A0A0U1RRN3	2672.66	3422.61	2431.51	1767.41	1680.89	1935.3	1911.77	2088.8	1938.47
Q9UBG3	11669.0	11799.8	11810.4	12824.9	12308.3	12320.8	13977.1	13745.5	12826.3
Q8WVZ7	41301.8	45029.9	44866.4	41586.4	43863.6	41510.3	40499.4	37948.7	35434.2
P0C626	1240.64	1704.14	1316.43		356.324	634.084	1090.97	664.734	1004.37
Q7L592	3063.81	3515.2	3324.06	2462.99	3552.25	2330.43	3787.15	2867.65	3770.83
Q9UK45		1984.92	2407.54	5447.9	2753.92	3192.75	3024.0	2753.25	3010.79
Q9UKW4	22545.5	23816.0	23013.4	21701.3	21954.1	21572.5	20527.4	20129.8	20270.7
Q14CS0	20239.6	17159.4	16892.4	11186.1	12044.5	11745.1	10821.9	9470.2	12274.0
P0C870	29983.5	33407.5	29479.8	24131.4	20688.9	25884.4	20195.0	18071.8	19440.2
A6NDK9	7735.65	7578.98	7977.6	9880.41	9221.16	9515.48	10868.8	10815.0	10325.4
Q6ZQX7	21974.9	22664.8	22980.5	20750.8	22371.4	19825.9	20846.0	22283.6	24089.9
O43869	2861.87	2502.89	2669.17	3758.64	2427.91	2326.1	4093.83	3929.92	3095.81
Q9BYN7	2355.72		1387.79		1690.48	1509.28	1505.52		
Q9Y605	6566.72	7344.48	6594.97	6672.55	8721.8	9856.73	9072.3	10433.5	10680.7
A4D2P6	8363.16	7044.6	7010.62	7490.46	6921.81	8358.86	9786.45	10289.0	10905.0
Q5T3I0	3833.86	2876.11	3468.11	4395.93	3010.42	3105.85	4000.69	3994.4	3549.34
Q53TN4	10134.3	10781.7	13319.8	11863.3	12434.5	14168.0	17104.5	16045.5	14792.0
Q5U5X8		1878.88		2211.37	2023.88	2010.12	2326.65	2326.03	1793.63
P61925	2338.17	1937.38	1867.9	3726.73	3249.82	3251.2	3643.63	3993.15	3101.72
O60543		1671.0	2375.24	3844.09	4439.69	4359.99	3186.95	2920.12	1723.44
O76009	5252.39	7305.78	7977.49	2723.81	5433.15	960.054	6972.18	8315.67	8125.2
Q6IF82	12181.2	9537.19	9937.34	6607.89	6910.47	7853.32	5397.43	6713.83	7149.51
Q92688	20822.9	16857.5	14659.9	14284.3	16582.5	21227.3	20412.6	23635.7	22167.1
Q9P1G2	1580000.0	1670000.0	1790000.0	1420000.0	1520000.0	1520000.0	1670000.0	1540000.0	1660000.0
P21695	36399.3	44231.7	42809.0	19924.7		25496.8	59139.9	41335.3	51669.6
Q9P2E8	38065.5	35774.9	35946.2	30979.1	30535.4	30632.8	29454.4	28481.5	28222.2
Q8NE22	5596.91	5090.74	4834.09	4393.04	6605.97	5224.11	5800.56	4937.36	6353.58
Q5T036						2832.27			1526.04
Q0D2K0	20420.2	23389.3	19198.8	19652.8	17752.6	14841.8	19810.4	16821.2	19434.5
Q6ZVL8		5371.26	4393.13	3064.1			6453.4		5758.69
Q9P2N5	12939.7	14600.7	15776.1	12332.4	12990.4	13219.2	14231.3	15844.7	19121.9
Q5VWT5	16267.1	14977.3	12002.5	16954.4	17466.5	16195.0	25964.3	19752.2	14748.6
Q8NGQ6	14816.1	15616.3	14375.9	13464.7	14543.9	13244.0	13706.3	14152.0	13958.7
Q13901	9987.13	9566.35	8625.76	10921.4	12663.5	11142.2	10534.5	9988.7	11196.4
Q9UPW6	7073.35	4562.38	4484.96	5153.75	5791.51	5196.15	4755.29	4917.48	5197.88
Q9P299	13848.7	13132.2	13496.6	16195.0	13671.6	15699.6	15555.5	15358.4	17484.8
B2RUY7	22920.0	32353.6	27741.3	27987.1	28071.0	32082.0	26071.1	28123.2	40103.6
Q5T4I8	1052.13	1158.24	1418.82	1554.82	2013.89	1891.45	1860.48	1655.82	2040.51
P06731	1071.13	2256.61		937.974	1255.22	899.732	1756.44	1390.4	775.694
Q9NPG2	16729.9	15234.4	14966.8	20535.2	19976.8	20244.6	22009.3	20877.7	20102.6
Q9H1C7	12208.7	8128.46	7677.22	11180.0	11206.1	10283.9	13528.6	12206.0	12960.7
P35555	9262.98			10015.2	8399.72		9564.93	8321.92	7953.0
A6NNX1	11046.4	11500.2	12038.5	9549.73	11391.6	11238.4	10755.9	12557.8	11509.4
Q8WVM0		1773.81		1964.82	1860.0	2835.06	2793.73	2933.3	3087.75
B1AL46	1285.49			2598.97				1737.0	1594.25
Q9UHA4	7553.37		9037.09	9038.84	9793.62	10713.1	7315.72	8665.29	
Q96PH6	17084.7	15388.9	18423.1	23015.6	20163.5	22063.5	23513.3	22470.3	23851.5
Q9NZG7	5327.91	2899.13	4516.88	3261.37	1833.64	3289.36	2484.57	3115.48	3022.6
Q92541	8273.81	7643.13	7520.46	5689.18	7584.28	7109.12	6321.09	6779.05	6696.25
Q9P2B7	1803.12	1368.46	2134.02	2415.37	1770.49	2036.45	2119.05	2031.03	1960.79
P40189	11662.2	10383.1	11531.0	16642.9	14652.6	15808.9	16554.3	16028.7	16141.2
Q8TAF5	13244.1	9809.55	10356.4	11308.2	10900.9	12207.0	7965.4	9532.16	9025.88
P63129		11136.2	9723.75	14313.0	8437.2	8673.13	9879.77	11927.3	9275.53
Q8N999	11895.7	11017.5	11789.8	14625.5	16591.6	15112.0	14020.3	14546.7	16498.3
Q9Y6N7	9691.63	7942.99	8737.74	12088.8	11315.7	10694.6	10755.5	10408.2	10281.6
Q9UNE7			5426.07						
Q8N264	25085.9	21098.9	26261.2	26994.6	20748.0	21235.0	28461.5	27326.2	29726.8
Q8NBF4			347.538	478.948	477.257		582.346	365.737	772.825
Q6UXL0	3582.18			1925.42		2128.86	1215.54	1720.85	2219.46
Q6UX40				1479.04	1290.73	1741.73	2035.22	1417.52	1361.43
P12018	1970.62	2787.5	2396.16	2116.01	1362.0	2193.01	3406.56	3410.34	3536.59
Q96KK3	8511.21	8198.13	6889.32	7818.35	8157.79	8043.58	8891.17	8502.61	9621.03
Q9P121	41998.5	42147.9	36907.3	37072.9	34656.1	32513.7	38316.7	37773.5	34891.9
Q6SJ96	5938.92	5100.31	5846.18	7923.28	7762.76	9055.11	8865.43	8269.75	7998.3
Q8N465	37032.4	35683.9	40141.4	35106.7	34350.1	36994.3	36958.7	38206.2	35818.1
Q6P3W2	26857.8	26048.5	25613.4	25834.3	24667.7	23500.6	26839.9	26672.8	26736.9
P81408	11703.7	10296.5	11166.1	10384.0	10387.7	11298.6	13365.0	13338.9	12828.4
Q5EBL2	2997.32	2956.74	1637.67	2259.29	2010.54	2924.9	2229.66	3044.48	2799.75
Q96EA4	1986.6	2964.47	3163.85	1493.89	1485.2	1485.71	2523.14	3142.93	3054.14
Q8N6G6	4867.78	2579.06	2062.38	1988.81	1677.76	2798.91	2901.99	3254.27	3032.5
Q13547	8285.29	8351.13	8360.89	8345.95	8021.22	8180.98	6427.55	6201.63	7024.19
Q2WEN9	11192.0	10484.6	11564.1	10560.7	8939.83	8777.88	11319.6	11721.2	12620.7
Q13332		1437.37		591.575			1173.32		741.459
Q7RTR2	12314.0	16412.4	16261.0	11480.7	11631.4	12408.0	12040.9	12367.5	12932.8
Q6ICG8	15800.6	13268.2	11651.1	15794.6	13475.6	14763.6	21382.2	20064.0	23652.8
Q9UHR5	7298.64	5698.03	6734.36	7235.33	8042.72	6452.81	7938.53	8621.01	8547.97
Q8N7J2	1429.64	1312.74	1292.15	350.666		1896.66	870.027	806.256	1261.16
O75334	3575.35	2931.49	3010.47	3453.23	3203.77	3581.79	4011.23	3821.62	4892.42
O94808	1351.54	1743.97						502.025	1296.64
Q9UNN5	38074.8	40542.8	38702.3	29077.9	30713.4	33744.8	30481.3	29986.4	31652.4
Q9ULX9	5983.45	3523.66	4964.02	5359.23	8285.85	6873.65	5520.1	6882.5	4377.13
Q05209	6367.76	5913.14	5453.38	6578.6	6263.17	7057.06	7298.0	6447.5	7227.39
Q15125	2602.96	2668.06					3448.55	4187.9	3279.56
Q9NPF5	4248.7	2928.83	4074.39	3748.34	4251.8	2753.7	3207.73	2896.14	2615.64
O15553	160677.0	181657.0	186975.0	198771.0	211556.0	175395.0	223450.0	215534.0	219086.0
O75600	11583.9	6400.13	7291.99	10699.3	11167.8	9934.66	13126.9	10246.8	8286.7
P40337	2220000.0	275718.0	210383.0	2540000.0	1030000.0	1340000.0	525910.0	395536.0	264940.0
Q12789	39837.9	52325.0	43558.1	56259.8	43752.4	55060.2	43901.8	40370.4	45678.4
Q709C8	60616.4	67539.7	71534.7	109133.0	97654.9	98847.4	111371.0	109629.0	115138.0
P50222	10051.2	12871.8	11927.7	9227.15	9743.56	7767.89	9922.4	11196.3	11609.6
Q6ZN19	6677.75	7810.81	8091.05	6499.0	8158.38	7067.89	6418.02	6700.65	6996.55
Q05940	24005.6	18499.7	21462.8	20587.5	19601.2	16964.4	22350.4	20480.2	22496.1
Q96DT0	3450.03	3509.93	3126.95	3970.57	3836.04	3228.92	4409.09	3831.84	3983.8
O00299	21720.4	21655.4	19750.2	18752.9	18301.3	19008.9	17339.3	16727.2	16912.6
P0C2S0	2272.56	1415.97	2958.38	1441.52	2939.25	2135.62	1403.15	2375.27	1904.92
Q8WZA9	2813.63	4265.19	3574.5	3475.95	3703.02	3330.71	2672.12	3311.69	3465.04
Q9Y2J8	6943.43	8344.53	8572.53	8550.33	8159.42	7911.57	9830.27	9626.88	10064.3
P49279	6429.24	6929.15	7901.23	5834.15	5591.12	5695.53	5276.43	5719.16	6242.25
P17014	9026.43	10518.5	9342.32	12011.7	9809.74	10503.9	7603.67	7581.28	8659.04
Q9BTE6	4959.0	3714.78		2336.55	2542.2	2617.05	3269.91	4046.61	4908.26
Q96EF6	6139.89	6267.62	6165.07	6052.33	7453.56	6643.82	7827.49	6628.06	6476.4
P00492	2153.93	1749.06	2329.66	2363.45	1847.27	2322.6	2244.87	2126.55	2903.87
P98172	14153.4	14113.6	13720.9	13844.4	14069.0	16332.9	17615.2	18193.1	18604.2
Q8IWB1	53138.2	50751.6	51444.5	32470.1	37251.9	41234.5	35650.4	36536.3	33254.8
Q5XXA6	5623.54	4507.82	3637.68	3967.22	4235.96	4082.67	2306.8		3030.94
O14771	242361.0	238975.0	238773.0	187185.0	192236.0	196657.0	169920.0	164957.0	168685.0
Q9UIJ7	5260.68	4927.96	7373.52		7014.84	8339.21	4931.18	7670.46	4954.62
Q8WTR4	2954.33	1755.62	1809.26	2003.89	1211.72	1609.04	1749.13	1660.18	1859.42
Q8IZD9	17854.0	17243.7	16321.1	18011.8	17820.2	18986.0	13038.0	11502.1	12534.9
Q9UL26	4762.63		4730.6	11111.2	7535.15	5945.56	4185.89	5553.7	5186.49
P05455	466961.0	592043.0	496088.0	467391.0	477427.0	527918.0	548223.0	493673.0	484554.0
B7ZAP0	4674.17	5645.35	5534.01	5106.35	4742.54	2988.52	3941.13	5373.09	4806.62
P18074	18573.9	17964.3	17880.4	14871.1	13651.8	15922.7	14358.9	14755.0	16140.6
Q8N4W6							1117.87	1032.22	1164.56
A0JD32	31498.9	34728.9	33363.5	29312.3	28792.8	32270.7	27215.0	27435.9	28174.3
Q8NH70	7879.0	7717.97	8538.34	9212.69	9009.94	8731.82	8994.43	8684.56	8706.53
Q9UH77	9668.13	13173.9	11001.7	13646.4	11617.3	12213.5	12091.4	12772.0	10240.2
Q8IXJ9	8300.25	9216.12	9609.08	10288.7	10691.5	10659.8	10019.6	10287.0	10059.9
P05543	4968.84	5825.58	5379.98	4791.82	4519.96	4243.04	4454.95	5402.75	5633.69
Q8NI36	17755.2	16260.4	16877.2	16148.5	12691.0	14000.6	13582.5	12058.5	14133.3
Q96EK6	54367.4	59498.7	55541.1	44993.4	39626.2	37353.6	41557.1	40356.8	42326.3
Q9BSJ2	4620.72	3145.31	2962.54	3734.64	2882.79	2154.65	2634.3	3531.64	2812.76
Q4L235	4226.85	4403.96	3589.97	4599.37	4880.79	4382.1	5048.65	4730.48	5242.95
Q9NRW1	17225.0	16716.0	17032.9	12391.5	12936.0	11930.3	11078.8	10388.9	11798.7
P15622	76182.7	74463.0	71487.8	70215.5	69436.0	70979.7	67381.7	67106.5	62847.4
A0A1W2PR82							2371.65	2289.06	2267.38
P0DPK4	9341.38	9709.96	7919.48	5616.98	6109.02	5732.89	4898.0	4802.3	4943.54
P04439	1423.16	1664.38	1434.35	1467.74	1348.69	1740.23	1472.35	1197.08	2084.07
Q9H3S3	3207.19	3633.05	3353.12	2792.69	3075.31	2803.93	2285.64	2224.23	2140.97
Q9NRP2	6506.66	5888.85	6263.09	4360.74	6014.38	5480.22	3978.24	4541.26	5988.22
O00400	99166.4	104155.0	100240.0	112298.0	114035.0	117193.0	125739.0	122685.0	124508.0
P42695	5984.59	5947.73	4949.85	8048.51	8192.01	6994.2	7741.35	7187.0	5551.74
Q9Y6B7	3151.15	3029.98	3033.51	3232.98	2990.73	3484.72	3118.14	2727.36	3440.59
Q7L622	2931.12	2162.06	3255.2	1300.55	2948.31	1864.05	2419.04	1770.77	2034.65
Q9H2S6	14434.1		12971.4				14577.4		11697.0
Q9Y3E2	6580.87	8178.66	5956.75	14160.2	9976.37	11586.0	7632.43	5327.62	5970.91
P02724	5660.76	4623.39	3963.45	6270.64	5655.68	6301.07	5654.21	5891.14	5119.97
Q9H489	5150.17	5104.46	5865.07	6468.45	6673.64	6572.1	7568.57	6968.37	7728.85
A0A1B0GTC6	7033.58	8819.1	7789.03	3653.15	5060.73	2383.26	3134.8	4213.4	5081.84
A4FU49	1827.8	874.245	2313.11				1120.68		2119.78
Q8TD57	11598.2	9970.93	8855.93	18136.9	16887.8	17395.2	13318.5	16085.7	13823.5
Q86XI6	3683.36	3943.57	4521.05	3880.06	3820.3	3853.2	2929.3	2717.88	3674.4
A2VEC9	3925.9	5014.4	4184.21	2468.32	4894.14	3881.34	4898.55	5872.58	5576.85
Q86VV4	4916.52	5682.48		6107.13	5713.16	6187.06	8306.42	6983.95	7269.65
Q8WW18	3249.87	3307.42	2572.11	2336.24		2059.94	1386.26	2668.26	1789.96
Q8WZA2	1827.91	1646.56	1913.04	1611.63	1657.28		1488.9	1481.63	1645.4
Q96EL3	4091.18	3596.64	2685.78	4093.13	3763.92	3265.28	4624.07	5115.71	3640.83
P10828	23521.2	22143.9	21581.5	28085.2	28257.4	27119.6	32078.4	33170.7	31757.0
Q96B49	7049.39	9294.69	9855.51	13468.5	12588.5	9314.65	9575.33	11006.7	9139.02
P29034	21107.9	20973.4	19623.4	23959.1	24511.1	25265.2	30397.0	32001.6	29793.1
P78536	4776.68	5887.62	5851.39	2874.66	5436.39	3589.91	4864.29	6666.22	5552.08
H3BTG2	2931.75	2071.0		2170.45	2470.64	2520.89	1249.16	2114.85	2136.44
Q9Y6J8	7759.07	6560.54	5874.11	6187.95	7004.51	6060.36	7238.01	8125.64	8535.46
Q13530		4064.06	2222.34	4570.18	3747.76	3833.06	4708.73	4097.84	3836.77
Q8N4M7	908.804	1426.17	1292.45			1509.29			1024.74
Q9UKB1	2946.87	5528.17	3955.44	4924.41	3975.87	3877.33	2675.4	2677.12	3125.47
Q66LE6	8572.22	9834.0	11213.7	9056.03	10062.3	10417.1	8181.39	8891.87	8006.38
A0A1B0GTH9	13672.2	14541.9	15042.4	16981.1	18182.0	17995.3	19559.5	21539.3	22237.6
Q96QK8	2655.5	1946.46	2260.53	3418.28	3370.5	3530.88	2478.49	2720.15	2874.93
Q86SQ9	12492.1	11205.0	9928.17	8274.02	7483.07	7782.8	9453.61	8378.11	9717.78
P0DI80	1160.98	1258.51	1170.27	2042.81			1216.57	1118.36	1466.33
Q9HCU4	7634.62	9668.33	9189.88	11106.9	9724.99	10846.5	9188.25	9123.13	9139.53
Q6Q0C1	19508.7	20262.9	20351.6	23767.7	23728.9	20423.6	20476.7	26218.2	26903.7
Q93097	3754.06	2846.6	2726.84	2562.01	2655.22	2944.1	2932.56	3581.72	2817.24
O60516	8801.21	7658.3	9372.53	11021.3	8997.16	9586.51	11837.7	12764.1	12447.1
Q6NZ63	33660.8	32164.6	32999.8	38624.3	35131.5	37806.5	36748.4	39549.5	40635.7
Q460N5	1985.67	2006.98	1610.42	2212.03	2185.42	2713.49	2294.93	1853.38	2792.12
Q5HYN5	6368.3	6259.2	6715.53	4938.65	5477.97	5629.91	5857.91	6114.33	6322.78
Q8TDR0	85693.3	87515.9	91535.0	94932.1	92327.1	98080.6	109463.0	108055.0	110792.0
A0A0X1KG70	29845.0	31732.9	27820.6	48982.3	48781.3	54325.3	49073.2	45494.4	43859.4
Q7LGC8	4945.45	6339.13	5841.06	5574.68	6677.06	4625.38	4567.87	5060.83	4410.82
P01871	20717.1	21220.4	21600.2	16295.9	16374.8	16610.2	15264.7	15666.5	15610.7
A0A0C4DH41	874.788	3028.11	3418.75	2501.89	1870.21	1129.13	2157.51	2242.16	2824.01
Q99954	39750.6	40297.3	39334.4	44193.5	45069.5	47604.6	47127.1	49551.8	47464.3
Q6WQI6	12831.0	12381.9	12959.3	11422.1	12478.5	12050.2	12647.4	12959.2	13540.3
Q96IT6	4378.57	4944.68	4148.69	3714.98	4176.0	3861.19	5158.68	4845.5	5005.0
Q5T751	14078.6	13587.3	15035.7	11443.7	10797.2	10488.8	12348.5	13025.6	11818.5
Q2TB10	5507.03	6028.84	5841.98	4960.08	6572.55	5253.81	4710.8	5282.5	5240.05
Q9UJW8	124328.0	109192.0	105906.0	124896.0	123705.0	127683.0	143556.0	140933.0	139016.0
P41968	119141.0	120148.0	117701.0	133200.0	123598.0	127918.0	134646.0	139166.0	140609.0
A0A0A6YYD4	82621.7	84536.5	90399.8	104131.0	103127.0	98700.8	117671.0	111036.0	113162.0
Q5TEA6	48787.0	61621.4	60143.3	66020.0	54727.6	72441.4	92065.4	82277.1	85621.6
Q3KNV8	1996.84	2048.22	2202.87	2855.37	1779.78	2055.66	2256.34	2141.54	2703.34
Q8N8R5	655.308	336.759	948.011		614.419	221.935	380.749	650.437	512.144
P18887	41366.3	42757.8	43512.0	43710.8	42451.2	42676.7	46198.3	44718.2	44861.7
Q6NSJ5	12949.2	13920.9	14637.3	12748.3	13499.3	14317.4	16001.0	14020.5	16593.2
Q86WS4	103522.0	113014.0	107399.0	122475.0	118912.0	127665.0	110959.0	118728.0	129964.0
Q8N0S6	8132.91	6640.77	6206.08	6207.82	6968.93	6345.9	4611.03	4244.0	4541.06
Q8NGX9	3718.35	3878.99	4202.83	4497.03	4419.28	3597.82	4628.69	5090.64	4643.52
Q8NG68	28241.0	28000.6	28196.8	22464.8	23716.6	23069.9	23482.5	21392.5	23616.2
P08253	192809.0	58155.2	117732.0	237901.0	235482.0	235952.0	154069.0	190456.0	146781.0
Q05329	58893.3	68919.9	67064.9		86097.8	84179.4	86877.3	89655.3	93499.2
Q9UMS4	18720.0	20049.1	20127.5	26313.7	26844.5	25476.8	26162.5	27585.9	27919.3
Q5TAG4	4307.71	4522.92	5234.95	3870.96	4598.82	5496.74	4849.97	5445.98	4874.05
Q9NZE8	32953.8	34053.7	35321.2	37700.4	38716.3	38134.9	41674.1	42729.1	39526.4
B2RXH2	5234.85	4645.26	5475.3	5884.04	4682.05	5183.23	4470.03	4626.03	5169.37
Q00LT1	182289.0	205650.0	210187.0	141429.0	134823.0	142237.0	134323.0	133847.0	137155.0
P49768	28294.3	26240.2	27682.4	28092.2	29489.4	27961.8	34246.1	39423.2	35003.0
Q7Z4N2	2220000.0	2340000.0	2320000.0	1740000.0	1710000.0	1690000.0	1620000.0	1640000.0	1620000.0
O60391	1340000.0	630893.0	676744.0	970304.0	844907.0	909016.0	572201.0	493880.0	484309.0
Q6QNK2	966351.0	834231.0	761278.0	923579.0	752332.0	1020000.0	672614.0	571593.0	477891.0
Q96LQ0	53563.2	58408.4	60004.1	22124.7	21691.4	34350.9	24348.1	28565.7	29014.3
Q15751	467.914		1052.31	385.593	907.916		854.701	455.486	942.066
Q6TDP4	7996.68	6510.26	6254.4	6630.95	5863.54	5711.36	4830.3	5063.6	4794.7
P0DJI8	6862.73	8536.81	7864.51	7638.49	7264.65	6580.42	8484.9	8631.58	8586.59
Q8N6M9	1124.28	681.3	1628.61	841.041		1636.48	1089.63	1299.58	1371.22
Q96CP7	1446.07	1194.5	1311.07	2056.84	1962.64	1586.62	2325.63	964.661	1763.71
Q9UD57	15257.2	15581.3	17092.6	18921.1	15840.7	18186.5	18447.6	18806.7	17472.2
Q9HCX3	15173.8	15777.9	15304.9	10136.1	8688.33	7927.68	10313.1	11474.4	9941.29
B5MD39	18324.4	20326.6	19329.7	14259.8	13135.2	14140.4	13663.7	12619.1	14839.7
Q96BS2	145423.0	135440.0	156679.0	96829.8	103576.0	116738.0	121861.0	120921.0	105143.0
O60522	4262.09	3810.98	4327.48	6218.06	6121.01	6047.67	5387.97	4248.79	5573.22
Q13761	321656.0	333826.0	332735.0	401146.0	404825.0	399543.0	446113.0	436941.0	450986.0
Q9H6Q4	16939.6	15974.3	15445.0	12335.6	11345.5	12626.5	12785.1	11402.3	12122.5
O95995	17327.7	18784.1	17115.1	16193.2	17665.2	16212.5	25782.7	24293.9	26772.0
O96004	52137.2	18107.7	22333.4	61998.8	54604.0	58888.4	47770.1	66228.5	40065.7
Q6ZU52	4101.18	4100.99	4978.37	9259.27	6691.67	10013.2	7822.45	8281.88	8113.12
Q9C0D2	12436.0	11570.1	12202.0	15308.8	12391.0	13978.0	16656.5	15931.2	15569.5
O14548				4548.62	2659.46	3147.6			2013.86
Q9HAB3	799.579	1703.19	1831.55	1629.18	1116.62	2008.32	1794.89	2885.58	2291.17
P02655	20434.2	25229.8	24434.7	15699.8	17104.0	17812.3	26569.8	28054.4	29765.7
Q9UBB9	4461.46	5890.25	6114.34	5382.19	6757.94	5585.46	7611.09	6343.22	9391.44
Q96FF9	1087.27	885.221		1833.57	1856.49	2067.98	1684.98	1658.97	2150.18
Q96JB1	37816.8	46433.9	39904.5	40131.1	48690.8	46030.6	39331.4	41368.2	40901.9
Q4KMQ1	4021.94	3171.0	3595.77	2040.8	3250.31	3423.56	2924.43	4452.31	3955.41
Q15661	5879.77	6099.87	6472.18	2196.51		2929.7	3397.91	3935.05	3271.66
Q9ULK4	19903.0	17648.4	18206.5	17760.8	18748.3	18407.3	19815.3	19645.0	20119.4
P42830	13513.7	13236.5	14715.5	15865.4	16128.3	16495.1	16073.4	15326.3	15082.4
P0CG22	5434.58	9062.56	10177.4		2890.36	3450.45			3874.05
Q2LD37	537690.0	527790.0	532484.0	440194.0	426896.0	435844.0	349754.0	351784.0	340331.0
P0DOX4	17448.2	19062.9	16620.8	19452.1	16761.6	19654.9	19609.1	19407.3	21149.5
O14931	15198.6		10789.9	11715.0	8741.03	12298.4	9855.45	13222.3	7917.71
Q13118	2627.14		2805.51	3770.05	3051.37	2618.56	2728.53	1873.95	2920.84
Q9NPY3	706305.0	685527.0	707333.0	487331.0	508833.0	492550.0	444622.0	434850.0	439848.0
Q9H0U9	57502.1	60552.9	61104.3	69423.4	68762.7	75832.5	60957.5	57966.6	58139.3
Q13813	16373.3	17994.9	19112.2	20695.1	20149.5	20066.6	21568.0	24004.5	20860.4
O00458	7377.08	4663.04	5188.73	4508.03	4314.68	4736.05	4038.97	3975.93	4652.47
Q8IUC8	66359.8	67389.4	67911.0	69156.3	68388.0	72774.5	75904.8	73085.1	72785.3
A6NJB7	43168.9	45071.5	42940.2	32846.4	34661.1	35978.5	29462.5	27527.4	28371.8
Q9H7C4	93553.3	118730.0	122907.0	114168.0	102587.0	125118.0	111661.0	103220.0	104019.0
A0A075B6J2	6785.55	7071.64	7013.65	7625.78	8882.83	9745.08	8770.25	7812.62	8375.38
Q8WXH4	16156.3	17066.8	16769.3	19214.7	18134.7	19716.0	19970.4	20520.3	21123.2
Q6ZSJ9		5162.47	2738.98	2757.8	2842.61		2552.61		3548.27
Q9BVK8	16382.2	15277.9	14660.9	12184.7	12543.1	11866.5	12916.0	13259.3	14789.4
Q6NUQ1	9678.62	8586.01	7206.06	6677.57	7148.95	7345.94	6148.87	5486.42	5412.71
Q9H6J7	15952.9	10076.8		28522.4		24352.2	7662.3		
Q9UKJ1	20658.9	18971.7	20352.6	20743.6	24713.3	23691.7	27162.5	29804.8	26878.4
O95800	43588.3	44463.7	38600.4	35435.1	33209.0	32117.2	32345.3	32858.6	32577.1
G9CGD6	64236.8	67438.1	66753.2	71352.9	71178.4	71884.6	66485.8	69607.8	69606.8
Q15398	86512.2	65337.0	72455.4	50372.6	52943.9	60082.1	46015.4	47019.7	56523.5
