PROTID	GENEID	cGFP_6h_BioID_10_1_INT	cGFP_6h_BioID_10_2_INT	cGFP_6h_BioID_10_3_INT	cGFP_6h_BioID_11_1_INT	cGFP_6h_BioID_11_2_INT	cGFP_6h_BioID_11_3_INT	cGFP_6h_BioID_1_1_INT	cGFP_6h_BioID_1_2_INT	cGFP_6h_BioID_1_3_INT	cGFP_6h_BioID_2_1_INT	cGFP_6h_BioID_2_2_INT	cGFP_6h_BioID_2_3_INT	cGFP_6h_BioID_3_1_INT	cGFP_6h_BioID_3_2_INT	cGFP_6h_BioID_3_3_INT	cGFP_6h_BioID_4_1_INT	cGFP_6h_BioID_4_2_INT	cGFP_6h_BioID_4_3_INT	cGFP_6h_BioID_5_1_INT	cGFP_6h_BioID_5_2_INT	cGFP_6h_BioID_5_3_INT	cGFP_6h_BioID_6_1_INT	cGFP_6h_BioID_6_2_INT	cGFP_6h_BioID_6_3_INT	cGFP_6h_BioID_7_1_INT	cGFP_6h_BioID_7_2_INT	cGFP_6h_BioID_7_3_INT	cGFP_6h_BioID_8_1_INT	cGFP_6h_BioID_8_2_INT	cGFP_6h_BioID_8_3_INT	cGFP_6h_BioID_9_1_INT	cGFP_6h_BioID_9_2_INT	cGFP_6h_BioID_9_3_INT
na	na	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_10	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_11	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_1	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_2	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_3	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_4	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_5	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_6	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_7	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_8	cGFP_6h_BioID_9	cGFP_6h_BioID_9	cGFP_6h_BioID_9
O00418	EEF2K	456414.03	456544.22	530394.75	469520.28	489157.06	537782.3	549789.56	536930.0	524219.03	525023.94	493689.2	573537.75	574014.7	605756.4	577903.2	526137.0	525664.7	566426.6	470479.38	394797.5	452197.75	479708.84	465546.7	411962.03	430891.25	430838.5	463232.6	468017.34	472189.1	520263.75	522018.34	492065.03	472885.56
O00422	SAP18	33331.52	59034.938	22086.521	35049.54	49976.93	0	21851.607	19102.008	19975.7	17571.441	16742.775	17411.078	19597.771	11949.205	19121.68	23000.58	14204.851	25298.033	110407.734	42319.36	16329.629	15620.717	30297.23	32541.809	35272.04	37201.5	15368.098	64276.234	30783.281	58265.695	73467.96	51261.5	64718.406
O00423	EML1	17424.34	16559.35	20654.771	22141.918	18735.332	21136.186	27598.523	30186.82	29181.934	19851.545	27861.426	29975.441	31666.006	22003.822	38442.0	36915.03	29623.867	37129.02	38247.516	37441.992	32001.531	34929.09	31361.387	35385.457	37723.65	31683.414	32020.51	17016.525	16981.748	19751.152	17452.271	18492.146	19570.025
O00425	IGF2BP3	380512.5	432276.0	352931.9	297339.34	377131.53	329249.8	214470.38	102956.45	162505.98	129437.57	237837.38	232016.73	216780.02	220066.22	198452.84	229220.62	109592.54	219376.77	157381.48	233149.66	275788.94	135548.0	292546.8	271313.47	193319.64	259270.08	298598.66	378905.06	434191.44	398913.75	395565.03	432669.38	381308.2
O00429	DNM1L	2167436.0	2225507.2	2258430.0	1925337.0	2147810.5	2267670.5	1858215.5	2029728.1	1821569.4	1864920.2	1959476.6	1917738.1	1923622.0	1968926.0	1785783.6	1678377.2	1574385.0	1658452.6	1837238.1	1842883.4	1920532.4	1781675.2	1831154.6	1819416.6	1832474.1	1831451.4	1890970.0	2251364.8	2157048.2	2238802.5	2117160.8	2331937.2	2164835.2
O00443	PIK3C2A	919931.06	866991.75	928741.25	884433.56	831090.4	969192.94	1100843.8	1137436.4	969023.06	1141802.4	971277.44	1103435.1	1119314.0	1137046.5	989083.94	986124.56	996986.44	896791.06	974897.94	815557.0	868255.75	830595.94	839076.2	874329.06	920801.56	915892.2	805281.6	824901.56	908095.2	873633.7	878970.1	910588.94	917525.1
O00458	IFRD1	0	7380.1445	9452.322	7354.369	9186.037	12841.541	6909.4297	5676.111	8394.699	8171.806	8469.77	8624.607	8999.661	6744.7837	12872.883	8564.918	10689.301	12126.908	14700.076	19427.22	19649.438	20117.66	20664.99	19138.822	20560.371	16437.324	24811.475	8593.627	14049.609	10993.956	5122.094	10435.917	9802.855
O00459	PIK3R2	0	0	0	0	0	0	33919.02	54776.867	46194.11	57287.582	44556.11	39413.887	41857.684	50453.797	42843.297	47249.934	51292.85	46875.21	76651.61	69951.805	54334.387	57207.887	60565.324	67215.53	67074.95	84224.45	48477.75	0	0	0	0	0	0
O00463	TRAF5	130879.76	155618.92	169826.34	170705.64	177418.06	134572.06	125609.89	95587.37	116505.78	190492.17	117665.44	150966.9	59077.758	73899.0	62154.258	57236.945	137384.64	116980.51	132272.7	127462.02	130645.8	137690.14	133174.14	131923.55	111468.04	132351.5	116624.13	173390.73	180651.11	137935.27	155355.28	145178.56	129931.04
O00470	MEIS1	0	0	12526.768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00471	EXOC5	0	0	0	0	0	0	804118.56	348587.72	719213.1	960874.6	0	999087.56	953203.56	1033754.8	935064.44	1015622.94	886318.5	933115.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O00487	PSMD14	544215.8	470363.7	546470.75	570119.6	543797.8	540220.94	379480.25	374076.75	414236.06	391134.25	334374.7	387385.53	382209.34	380664.06	362791.44	380621.56	415116.03	411707.53	396341.12	470560.7	481913.25	482848.9	499889.25	451419.75	499582.2	446272.6	458848.66	483945.66	455214.9	513680.5	543760.1	548665.25	517019.16
O00505	KPNA3	307027.4	310836.9	287670.53	275407.94	283186.28	278212.7	252103.64	273242.6	249719.8	321375.6	298376.94	269211.75	247952.19	254344.02	255817.64	265104.9	249692.6	242645.94	201330.19	217789.19	199730.45	200859.97	215057.34	233491.56	208469.45	224384.03	233992.19	299131.97	306829.2	303797.6	331748.28	319378.22	324970.4
O00506	STK25	0	0	0	0	0	0	13586.566	12899.667	15457.422	12362.354	14144.319	0	11836.677	12058.918	15200.784	13773.975	13175.162	12136.321	8976.156	10247.169	13265.109	9582.05	10407.185	0	0	12972.194	15060.451	0	0	0	0	0	0
O00512	BCL9	73278.09	78417.25	83622.62	85460.516	88861.65	89197.03	110577.53	78604.18	114907.53	100799.06	105686.84	125655.484	120757.3	110415.68	132184.77	112542.61	143639.97	117130.5	189025.84	193205.73	192489.1	182179.97	186613.3	201005.53	186762.1	163621.95	186144.97	88715.34	91456.87	92313.98	78460.53	82917.05	84163.1
O00522	KRIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15372.235	38628.133	18643.44	28444.787	17982.738	31475.613	28001.637	17242.492	31070.816	0	0	0	0	0	0
O00541	PES1	191625.0	174158.42	167718.69	189920.95	153807.22	141654.84	154306.69	162081.5	124930.3	198163.64	163531.89	166447.22	188795.4	159818.75	140375.39	183551.9	175600.39	163374.56	207629.3	215548.88	215891.11	163095.81	189898.45	197777.67	183997.03	240077.48	180801.9	169564.5	149124.69	187806.92	184603.22	165678.05	159960.86
O00560	SDCBP	147847.31	160325.28	158547.72	95869.84	149323.4	115833.8	152264.19	220612.31	197226.17	125834.47	115544.625	133916.81	164526.08	174706.34	79934.49	136616.44	154589.53	157031.8	103358.16	130126.72	137634.5	153848.17	157626.23	146730.86	136732.66	132819.56	167076.27	141190.72	177026.02	148097.19	142116.4	169560.1	172262.44
O00566	MPHOSPH10	0	0	0	0	0	0	50779.863	33979.16	14219.095	18313.303	39173.76	27813.793	13569.565	9643.25	5106.731	14708.225	13176.6045	15447.816	33724.594	33797.355	12553.276	11193.797	0	12748.61	0	25982.053	9391.707	0	0	0	0	0	0
O00567	NOP56	0	0	0	0	0	0	61118.21	37749.29	6441.995	55831.56	33540.805	31892.334	35859.61	47155.375	24299.295	47531.62	23179.191	41905.676	149625.83	151921.38	215794.62	124212.125	122783.06	142265.19	118668.42	213153.4	205501.5	0	0	0	0	0	0
